,#,Pokémon,Type,HP,ATK,DEF,Sp.ATK,Sp.DEF,SPD,Total,URLs
40,029,Nidoran♀,['Poison'],55,47,52,40,40,41,275,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
41,030,Nidorina,['Poison'],70,62,67,55,55,56,365,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
42,031,Nidoqueen,"['Poison', 'Ground']",90,92,87,75,85,76,505,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
43,032,Nidoran♂,['Poison'],46,57,40,40,40,50,273,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
44,033,Nidorino,['Poison'],61,72,57,55,55,65,365,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
45,034,Nidoking,"['Poison', 'Ground']",81,102,77,85,75,85,505,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
46,035,Clefairy,['Fairy'],70,45,48,60,65,35,323,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
47,036,Clefable,['Fairy'],95,70,73,95,90,60,483,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
48,037,Vulpix,['Fire'],38,41,40,50,65,65,299,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
49,037,Alolan Vulpix,['Ice'],38,41,40,50,65,65,299,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png
50,038,Ninetales,['Fire'],73,76,75,81,100,100,505,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
51,038,Alolan Ninetales,"['Ice', 'Fairy']",73,67,75,81,100,109,505,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png
52,039,Jigglypuff,"['Normal', 'Fairy']",115,45,20,45,25,20,270,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
53,040,Wigglytuff,"['Normal', 'Fairy']",140,70,45,85,50,45,435,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
54,041,Zubat,"['Poison', 'Flying']",40,45,35,30,40,55,245,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
55,042,Golbat,"['Poison', 'Flying']",75,80,70,65,75,90,455,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
56,043,Oddish,"['Grass', 'Poison']",45,50,55,75,65,30,320,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
57,044,Gloom,"['Grass', 'Poison']",60,65,70,85,75,40,395,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
58,045,Vileplume,"['Grass', 'Poison']",75,80,85,110,90,50,490,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
59,046,Paras,"['Bug', 'Grass']",35,70,55,45,55,25,285,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
60,047,Parasect,"['Bug', 'Grass']",60,95,80,60,80,30,405,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
61,048,Venonat,"['Bug', 'Poison']",60,55,50,40,55,45,305,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
62,049,Venomoth,"['Bug', 'Poison']",70,65,60,90,75,90,450,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
63,050,Diglett,['Ground'],10,55,25,35,45,95,265,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png
64,050,Alolan Diglett,"['Ground', 'Steel']",10,55,30,35,45,90,265,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png
65,051,Dugtrio,['Ground'],35,100,50,50,70,120,425,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png
66,051,Alolan Dugtrio,"['Ground', 'Steel']",35,100,60,50,70,110,425,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png
67,052,Meowth,['Normal'],40,45,35,40,40,90,290,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png
68,052,Alolan Meowth,['Dark'],40,35,35,50,40,90,290,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png
69,052,Galarian Meowth,['Steel'],50,65,55,40,40,40,290,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png
70,053,Persian,['Normal'],65,70,60,65,65,115,440,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png
71,053,Alolan Persian,['Dark'],65,60,60,75,65,115,440,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png
72,054,Psyduck,['Water'],50,52,48,65,50,55,320,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png
73,055,Golduck,['Water'],80,82,78,95,80,85,500,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png
74,056,Mankey,['Fighting'],40,80,35,35,45,70,305,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png
75,057,Primeape,['Fighting'],65,105,60,60,70,95,455,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png
76,058,Growlithe,['Fire'],55,70,45,70,50,60,350,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png
77,059,Arcanine,['Fire'],90,110,80,100,80,95,555,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png
78,060,Poliwag,['Water'],40,50,40,40,40,90,300,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png
79,061,Poliwhirl,['Water'],65,65,65,50,50,90,385,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png
80,062,Poliwrath,"['Water', 'Fighting']",90,95,95,70,90,70,510,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png
81,063,Abra,['Psychic'],25,20,15,105,55,90,310,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png
82,064,Kadabra,['Psychic'],40,35,30,120,70,105,400,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png
83,065,Alakazam,['Psychic'],55,50,45,135,95,120,500,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png
84,065,Mega Alakazam,['Psychic'],55,50,65,175,105,150,600,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png
85,066,Machop,['Fighting'],70,80,50,35,35,35,305,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png
86,067,Machoke,['Fighting'],80,100,70,50,60,45,405,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png
87,068,Machamp,['Fighting'],90,130,80,65,85,55,505,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png
88,069,Bellsprout,"['Grass', 'Poison']",50,75,35,70,30,40,300,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png
89,070,Weepinbell,"['Grass', 'Poison']",65,90,50,85,45,55,390,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png
90,071,Victreebel,"['Grass', 'Poison']",80,105,65,100,70,70,490,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png
91,072,Tentacool,"['Water', 'Poison']",40,40,35,50,100,70,335,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png
92,073,Tentacruel,"['Water', 'Poison']",80,70,65,80,120,100,515,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png
93,074,Geodude,"['Rock', 'Ground']",40,80,100,30,30,20,300,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png
94,074,Alolan Geodude,"['Rock', 'Electric']",40,80,100,30,30,20,300,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png
95,075,Graveler,"['Rock', 'Ground']",55,95,115,45,45,35,390,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png
96,075,Alolan Graveler,"['Rock', 'Electric']",55,95,115,45,45,35,390,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png
97,076,Golem,"['Rock', 'Ground']",80,120,130,55,65,45,495,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png
98,076,Alolan Golem,"['Rock', 'Electric']",80,120,130,55,65,45,495,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png
99,077,Ponyta,['Fire'],50,85,55,65,65,90,410,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png
100,077,Galarian Ponyta,['Psychic'],50,85,55,65,65,90,410,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png
101,078,Rapidash,['Fire'],65,100,70,80,80,105,500,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png
102,078,Galarian Rapidash,"['Psychic', 'Fairy']",65,100,70,80,80,105,500,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png
103,079,Slowpoke,"['Water', 'Psychic']",90,65,65,40,40,15,315,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png
104,079,Galarian Slowpoke,['Psychic'],90,65,65,40,40,15,315,https://img.pokemondb.net/s.png
105,080,Slowbro,"['Water', 'Psychic']",95,75,110,100,80,30,490,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png
106,080,Mega Slowbro,"['Water', 'Psychic']",95,75,180,130,80,30,590,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png
107,080,Galarian Slowbro,"['Poison', 'Psychic']",95,100,95,100,70,30,490,https://img.pokemondb.net/s.png
108,081,Magnemite,"['Electric', 'Steel']",25,35,70,95,55,45,325,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png
109,082,Magneton,"['Electric', 'Steel']",50,60,95,120,70,70,465,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png
110,083,Farfetch'd,"['Normal', 'Flying']",52,90,55,58,62,60,377,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png
111,083,Galarian Farfetch'd,['Fighting'],52,95,55,58,62,55,377,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png
112,084,Doduo,"['Normal', 'Flying']",35,85,45,35,35,75,310,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png
113,085,Dodrio,"['Normal', 'Flying']",60,110,70,60,60,110,470,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png
114,086,Seel,['Water'],65,45,55,45,70,45,325,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png
115,087,Dewgong,"['Water', 'Ice']",90,70,80,70,95,70,475,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png
116,088,Grimer,['Poison'],80,80,50,40,50,25,325,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png
117,088,Alolan Grimer,"['Poison', 'Dark']",80,80,50,40,50,25,325,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png
118,089,Muk,['Poison'],105,105,75,65,100,50,500,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png
119,089,Alolan Muk,"['Poison', 'Dark']",105,105,75,65,100,50,500,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png
120,090,Shellder,['Water'],30,65,100,45,25,40,305,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png
121,091,Cloyster,"['Water', 'Ice']",50,95,180,85,45,70,525,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png
122,092,Gastly,"['Ghost', 'Poison']",30,35,30,100,35,80,310,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png
123,093,Haunter,"['Ghost', 'Poison']",45,50,45,115,55,95,405,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png
124,094,Gengar,"['Ghost', 'Poison']",60,65,60,130,75,110,500,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png
125,094,Mega Gengar,"['Ghost', 'Poison']",60,65,80,170,95,130,600,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png
126,095,Onix,"['Rock', 'Ground']",35,45,160,30,45,70,385,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png
127,096,Drowzee,['Psychic'],60,48,45,43,90,42,328,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png
128,097,Hypno,['Psychic'],85,73,70,73,115,67,483,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png
129,098,Krabby,['Water'],30,105,90,25,25,50,325,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png
130,099,Kingler,['Water'],55,130,115,50,50,75,475,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png
131,100,Voltorb,['Electric'],40,30,50,55,55,100,330,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png
132,101,Electrode,['Electric'],60,50,70,80,80,150,490,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png
133,102,Exeggcute,"['Grass', 'Psychic']",60,40,80,60,45,40,325,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png
134,103,Exeggutor,"['Grass', 'Psychic']",95,95,85,125,75,55,530,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png
135,103,Alolan Exeggutor,"['Grass', 'Dragon']",95,105,85,125,75,45,530,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png
136,104,Cubone,['Ground'],50,50,95,40,50,35,320,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png
137,105,Marowak,['Ground'],60,80,110,50,80,45,425,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png
138,105,Alolan Marowak,"['Fire', 'Ghost']",60,80,110,50,80,45,425,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png
139,106,Hitmonlee,['Fighting'],50,120,53,35,110,87,455,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png
140,107,Hitmonchan,['Fighting'],50,105,79,35,110,76,455,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png
141,108,Lickitung,['Normal'],90,55,75,60,75,30,385,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png
142,109,Koffing,['Poison'],40,65,95,60,45,35,340,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png
143,110,Weezing,['Poison'],65,90,120,85,70,60,490,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png
144,110,Galarian Weezing,"['Poison', 'Fairy']",65,90,120,85,70,60,490,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png
145,111,Rhyhorn,"['Ground', 'Rock']",80,85,95,30,30,25,345,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png
146,112,Rhydon,"['Ground', 'Rock']",105,130,120,45,45,40,485,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png
147,113,Chansey,['Normal'],250,5,5,35,105,50,450,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png
148,114,Tangela,['Grass'],65,55,115,100,40,60,435,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png
149,115,Kangaskhan,['Normal'],105,95,80,40,80,90,490,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png
150,115,Mega Kangaskhan,['Normal'],105,125,100,60,100,100,590,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png
151,116,Horsea,['Water'],30,40,70,70,25,60,295,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png
152,117,Seadra,['Water'],55,65,95,95,45,85,440,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png
153,118,Goldeen,['Water'],45,67,60,35,50,63,320,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png
154,119,Seaking,['Water'],80,92,65,65,80,68,450,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png
155,120,Staryu,['Water'],30,45,55,70,55,85,340,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png
156,121,Starmie,"['Water', 'Psychic']",60,75,85,100,85,115,520,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png
157,122,Mr. Mime,"['Psychic', 'Fairy']",40,45,65,100,120,90,460,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png
158,122,Galarian Mr. Mime,"['Psychic', 'Ice']",50,65,65,90,90,100,460,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png
159,123,Scyther,"['Bug', 'Flying']",70,110,80,55,80,105,500,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png
160,124,Jynx,"['Ice', 'Psychic']",65,50,35,115,95,95,455,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png
161,125,Electabuzz,['Electric'],65,83,57,95,85,105,490,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png
162,126,Magmar,['Fire'],65,95,57,100,85,93,495,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png
163,127,Pinsir,['Bug'],65,125,100,55,70,85,500,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png
164,127,Mega Pinsir,"['Bug', 'Flying']",65,155,120,65,90,105,600,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png
165,128,Tauros,['Normal'],75,100,95,40,70,110,490,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png
166,129,Magikarp,['Water'],20,10,55,15,20,80,200,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png
167,130,Gyarados,"['Water', 'Flying']",95,125,79,60,100,81,540,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png
168,130,Mega Gyarados,"['Water', 'Dark']",95,155,109,70,130,81,640,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png
169,131,Lapras,"['Water', 'Ice']",130,85,80,85,95,60,535,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png
170,132,Ditto,['Normal'],48,48,48,48,48,48,288,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png
171,133,Eevee,['Normal'],55,55,50,45,65,55,325,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png
172,133,Partner Eevee,['Normal'],65,75,70,65,85,75,435,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png
173,134,Vaporeon,['Water'],130,65,60,110,95,65,525,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png
174,135,Jolteon,['Electric'],65,65,60,110,95,130,525,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png
175,136,Flareon,['Fire'],65,130,60,95,110,65,525,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png
176,137,Porygon,['Normal'],65,60,70,85,75,40,395,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png
177,138,Omanyte,"['Rock', 'Water']",35,40,100,90,55,35,355,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
178,139,Omastar,"['Rock', 'Water']",70,60,125,115,70,55,495,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
179,140,Kabuto,"['Rock', 'Water']",30,80,90,55,45,55,355,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
180,141,Kabutops,"['Rock', 'Water']",60,115,105,65,70,80,495,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
181,142,Aerodactyl,"['Rock', 'Flying']",80,105,65,60,75,130,515,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
182,142,Mega Aerodactyl,"['Rock', 'Flying']",80,135,85,70,95,150,615,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png
183,143,Snorlax,['Normal'],160,110,65,65,110,30,540,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
184,144,Articuno,"['Ice', 'Flying']",90,85,100,95,125,85,580,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
185,145,Zapdos,"['Electric', 'Flying']",90,90,85,125,90,100,580,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
186,146,Moltres,"['Fire', 'Flying']",90,100,90,125,85,90,580,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
187,147,Dratini,['Dragon'],41,64,45,50,50,50,300,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
188,148,Dragonair,['Dragon'],61,84,65,70,70,70,420,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
189,149,Dragonite,"['Dragon', 'Flying']",91,134,95,100,100,80,600,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
190,150,Mewtwo,['Psychic'],106,110,90,154,90,130,680,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
191,150,Mega Mewtwo X,"['Psychic', 'Fighting']",106,190,100,154,100,130,780,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png
192,150,Mega Mewtwo Y,['Psychic'],106,150,70,194,120,140,780,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png
193,151,Mew,['Psychic'],100,100,100,100,100,100,600,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
194,152,Chikorita,['Grass'],45,49,65,49,65,45,318,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
195,153,Bayleef,['Grass'],60,62,80,63,80,60,405,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
196,154,Meganium,['Grass'],80,82,100,83,100,80,525,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
197,155,Cyndaquil,['Fire'],39,52,43,60,50,65,309,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
198,156,Quilava,['Fire'],58,64,58,80,65,80,405,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
199,157,Typhlosion,['Fire'],78,84,78,109,85,100,534,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
200,158,Totodile,['Water'],50,65,64,44,48,43,314,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
201,159,Croconaw,['Water'],65,80,80,59,63,58,405,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
202,160,Feraligatr,['Water'],85,105,100,79,83,78,530,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
203,161,Sentret,['Normal'],35,46,34,35,45,20,215,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
204,162,Furret,['Normal'],85,76,64,45,55,90,415,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
205,163,Hoothoot,"['Normal', 'Flying']",60,30,30,36,56,50,262,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
206,164,Noctowl,"['Normal', 'Flying']",100,50,50,86,96,70,452,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png
207,165,Ledyba,"['Bug', 'Flying']",40,20,30,40,80,55,265,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png
208,166,Ledian,"['Bug', 'Flying']",55,35,50,55,110,85,390,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png
